order_id,orderrad_id,orderdatum,leveransdatum,produkt_sku,produktnamn,kategori,antal,pris_per_enhet,region,kundtyp,betalmetod,kund_id,leveransstatus,recension_text,recensionsdatum,betyg,orderdatum_raw,leveransdatum_raw,antal_raw,pris_per_enhet_raw,has_review,invalid_order_date,invalid_delivery_date,invalid_quantity,invalid_price,invalid_lead_time,revenue,lead_time_days,order_weekday,order_month,sentiment_bert
ORD-2024-00001,ORD-2024-00001-1,2024-05-19,2024-05-22,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Uppsala,Privat,Kort,KND-53648,Levererad,,,,2024-05-19,2024-05-22,1,SEK 799,False,False,False,False,False,False,799.0,3,Sunday,5,
ORD-2024-00003,ORD-2024-00003-1,2024-12-31,2025-01-03,SKU-SD001,Extern SSD 1TB,Lagring,1.0,1199.0,,Företag,Faktura,KND-91748,Levererad,Stämmer inte överens med produktbeskrivningen.,2025-01-12,2.0,2024-12-31,2025-01-03,1,1199.00,True,False,False,False,False,False,1199.0,3,Tuesday,12,Negative
ORD-2024-00003,ORD-2024-00003-2,2024-12-31,2025-01-03,SKU-SD002,Extern SSD 500GB,Lagring,10.0,699.0,Stockholm,Företag,Faktura,KND-91748,Mottagen,"Leveransen tog lite längre än utlovat, men produkten är ok.",2025-01-14,3.0,2024-12-31,2025-01-03,10,699 kr,True,False,False,False,False,False,6990.0,3,Tuesday,12,Neutral
ORD-2024-00003,ORD-2024-00003-3,2024-12-31,2025-01-03,SKU-MS001,Trådlös Mus X1,Tillbehör,1.0,399.0,Stockholm,Företag,Faktura,KND-91748,,,,,2024-12-31,2025-01-03,1,399.00,False,False,False,False,False,False,399.0,3,Tuesday,12,
ORD-2024-00005,ORD-2024-00005-1,2024-07-01,2024-07-05,SKU-HB001,USB-C Hub 7-port,Tillbehör,10.0,549.0,Örebro,Företag,Faktura,KND-32599,Levererad,,,,2024-07-01,2024-07-05,10,549.00,False,False,False,False,False,False,5490.0,4,Monday,7,
ORD-2024-00005,ORD-2024-00005-2,2024-07-01,2024-07-05,SKU-HS001,Headset Pro ANC,Ljud,3.0,1899.0,Örebro,Företag,Faktura,KND-32599,Levererad,Medelmåttig upplevelse.,2024-07-12,3.0,2024-07-01,2024-07-05,3,1899.00,True,False,False,False,False,False,5697.0,4,Monday,7,Positive
ORD-2024-00005,ORD-2024-00005-3,2024-07-01,2024-07-05,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,2.0,599.0,Örebro,Företag,Faktura,KND-32599,Levererad,,,,2024-07-01,2024-07-05,2,599.00,False,False,False,False,False,False,1198.0,4,Monday,7,
ORD-2024-00005,ORD-2024-00005-4,2024-07-01,2024-07-05,SKU-MS001,Trådlös Mus X1,Tillbehör,3.0,399.0,Örebro,Företag,Faktura,KND-32599,Levererad,,,,2024-07-01,2024-07-05,3,399.00,False,False,False,False,False,False,1197.0,4,Monday,7,
ORD-2024-00006,ORD-2024-00006-1,2024-03-10,2024-03-12,SKU-MN001,"Bildskärm 27"" UHD",Bildskärmar,2.0,4999.0,Stockholm,Privat,Faktura,KND-60466,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,2024-03-19,4.0,2024-03-10,2024-03-12,2,4999.00,True,False,False,False,False,False,9998.0,2,Sunday,3,Positive
ORD-2024-00007,ORD-2024-00007-1,2024-06-16,2024-06-20,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,2.0,5999.0,Orebro,Privat,Swish,KND-69810,Levererad,,,,2024-06-16,2024-06-20,2,5999.00,False,False,False,False,False,False,11998.0,4,Sunday,6,
ORD-2024-00008,ORD-2024-00008-1,2024-08-07,2024-08-14,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Norrland,Privat,Swish,KND-76965,Levererad,Dålig kundservice när jag försökte reklamera.,2024-08-24,1.0,2024-08-07,2024-08-14,1,799.00,True,False,False,False,False,False,799.0,7,Wednesday,8,Negative
ORD-2024-00008,ORD-2024-00008-2,2024-08-07,2024-08-14,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Norrland,B2C,Swish,KND-76965,Levererad,För dyrt för vad man får.,2024-08-21,2.0,2024-08-07,2024-08-14,1,18999.00,True,False,False,False,False,False,18999.0,7,Wednesday,8,Neutral
